 	HBR_1	HBR_2	HBR_3	UHR_1	UHR_2	UHR_3
ENSG00000237689.1	1	3	2	3	0	1
ENSG00000228122.1	0	0	0	0	0	0
ENSG00000237358.1	0	0	0	0	0	0
ENSG00000225480.1	0	0	0	0	0	0
ENSG00000230481.2	0	0	0	0	0	0
ENSG00000253691.2	0	0	0	0	0	0
ENSG00000253460.2	0	0	0	0	0	0
ENSG00000254264.2	0	0	0	0	1	0
ENSG00000253481.2	0	0	0	0	0	0
ENSG00000280156.1	1	1	1	4	40	4
ENSG00000215568.7	0	0	0	0	0	0
ENSG00000270226.1	0	0	0	0	0	0
ENSG00000276400.1	0	0	0	0	0	0
ENSG00000237438.6	22	27	32	31	27	24
ENSG00000273203.1	7	6	4	3	3	4
ENSG00000273442.1	0	2	2	0	3	2
ENSG00000177663.13	58	64	58	95	70	82
ENSG00000235328.1	0	1	1	1	1	1
ENSG00000183307.3	26	45	32	9	6	4
ENSG00000235478.4	3	3	1	0	2	0
ENSG00000069998.12	30	44	33	127	82	139
ENSG00000185837.3	0	2	2	0	1	0
ENSG00000093072.15	30	28	32	38	35	22
ENSG00000236325.1	0	0	0	1	0	0
ENSG00000203416.3	0	1	0	0	0	0
ENSG00000241832.1	1	0	1	0	1	0
ENSG00000231004.2	0	0	0	0	0	0
ENSG00000239547.3	0	0	0	0	0	0
ENSG00000099954.18	115	86	119	118	81	98
ENSG00000229492.1	1	5	1	0	1	1
ENSG00000232305.1	1	2	0	0	0	0
ENSG00000228045.1	0	0	0	0	0	0
ENSG00000182902.13	87	100	64	6	8	7
ENSG00000236754.5	1	2	1	1	2	3
ENSG00000131100.12	395	455	401	248	183	206
ENSG00000099968.17	212	282	263	244	166	200
ENSG00000015475.18	70	84	84	111	76	109
ENSG00000264757.1	0	0	0	0	0	1
ENSG00000269220.1	1	0	0	1	2	4
ENSG00000243156.7	334	432	426	211	144	191
ENSG00000093100.13	5	5	8	1	2	1
ENSG00000207780.1	0	0	6	0	0	0
ENSG00000235445.1	2	7	2	2	1	1
ENSG00000234913.1	2	9	4	1	2	3
ENSG00000237446.1	1	2	3	0	0	1
ENSG00000235295.1	0	0	0	0	2	0
ENSG00000225335.3	3	4	4	2	2	5
ENSG00000215193.12	131	171	132	197	133	179
ENSG00000236890.2	0	0	1	3	0	0
ENSG00000235617.1	0	0	0	0	0	0
ENSG00000225225.1	0	0	0	0	0	0
ENSG00000183785.14	10	12	15	2	2	1
ENSG00000280007.1	52	67	51	14	14	8
ENSG00000184979.9	3	6	2	27	13	19
ENSG00000187979.4	0	0	0	0	0	0
ENSG00000276160.1	0	0	0	0	0	0
ENSG00000274044.4	0	0	0	0	0	0
ENSG00000276874.1	0	0	0	0	0	0
ENSG00000275060.1	0	0	0	0	0	0
ENSG00000277017.1	0	0	0	0	0	0
ENSG00000277870.4	0	0	0	0	0	0
ENSG00000278044.1	0	0	0	0	0	0
ENSG00000274252.1	0	0	0	0	0	0
ENSG00000275319.1	0	0	0	0	0	0
ENSG00000277690.2	0	0	0	0	0	0
ENSG00000278558.4	2	1	3	0	1	2
ENSG00000274602.4	17	11	16	60	29	33
ENSG00000280694.1	0	0	0	0	0	0
ENSG00000274625.1	0	0	0	0	0	0
ENSG00000222630.2	0	0	0	0	0	0
ENSG00000275793.1	1	2	0	2	3	6
ENSG00000275362.1	0	0	0	0	0	0
ENSG00000278110.1	0	0	0	0	0	0
ENSG00000273907.1	0	0	0	0	0	0
ENSG00000273643.1	0	0	0	0	0	0
ENSG00000278008.1	0	0	0	0	0	0
ENSG00000182824.7	0	0	0	0	1	0
ENSG00000197421.9	0	0	0	0	0	1
ENSG00000239989.1	0	0	0	0	0	0
ENSG00000234764.2	0	0	0	3	0	0
ENSG00000161103.11	0	0	0	0	3	1
ENSG00000215544.6	0	0	0	0	0	0
ENSG00000276095.2	0	0	0	0	0	0
ENSG00000279987.1	0	0	0	0	0	0
ENSG00000183628.12	70	90	75	23	12	18
ENSG00000100033.16	103	124	120	43	33	38
ENSG00000279560.1	0	0	0	3	1	3
ENSG00000280418.1	0	1	0	0	3	0
ENSG00000237517.8	196	238	198	8	9	8
ENSG00000271275.1	11	9	12	1	0	0
ENSG00000273032.1	26	30	26	5	2	4
ENSG00000270393.1	0	0	0	0	0	0
ENSG00000273164.1	8	5	9	0	0	0
ENSG00000241527.1	4	4	6	1	2	1
ENSG00000070413.18	304	353	313	306	175	272
ENSG00000206739.1	3	0	0	1	1	2
ENSG00000273311.1	4	9	12	17	6	14
ENSG00000237347.2	1	1	0	0	2	0
ENSG00000281530.1	2	0	7	2	2	4
ENSG00000223461.1	5	4	5	4	3	5
ENSG00000272682.1	0	1	0	0	2	0
ENSG00000231086.1	0	0	0	0	1	0
ENSG00000100056.11	44	50	36	76	37	64
ENSG00000206203.4	0	0	0	0	0	0
ENSG00000063515.2	0	0	0	0	0	0
ENSG00000260924.2	3	1	3	11	8	11
ENSG00000100075.9	33	50	41	227	137	218
ENSG00000070371.15	33	39	35	102	71	81
ENSG00000230194.1	0	0	1	0	1	0
ENSG00000251940.1	0	0	0	0	1	0
ENSG00000233471.2	1	0	0	1	0	1
ENSG00000100084.14	18	15	9	53	25	32
ENSG00000242259.8	60	73	72	95	84	84
ENSG00000244296.3	0	1	0	4	2	1
ENSG00000185608.8	29	36	31	113	70	91
ENSG00000185065.6	4	3	1	6	7	5
ENSG00000070010.18	38	56	48	219	135	156
ENSG00000273300.1	0	0	0	0	0	0
ENSG00000273212.1	0	0	0	0	1	2
ENSG00000093009.9	2	1	0	232	157	178
ENSG00000184113.9	60	86	57	2	2	0
ENSG00000281548.1	0	0	0	0	0	0
ENSG00000230485.1	0	0	0	0	1	0
ENSG00000225007.1	0	0	0	0	0	0
ENSG00000184702.17	454	603	522	134	93	107
ENSG00000203618.5	0	0	0	0	0	0
ENSG00000184058.12	1	0	2	7	9	7
ENSG00000185838.13	14	16	8	38	33	28
ENSG00000235776.2	1	0	0	2	1	1
ENSG00000215012.8	82	123	94	209	146	163
ENSG00000184470.19	56	52	41	86	67	74
ENSG00000232926.1	2	9	2	8	4	4
ENSG00000093010.11	87	100	76	176	101	140
ENSG00000265087.1	0	0	1	1	0	0
ENSG00000099889.13	141	158	130	83	33	51
ENSG00000183597.15	25	37	28	45	39	31
ENSG00000208023.2	0	0	0	0	0	0
ENSG00000236540.7	7	16	14	13	9	16
ENSG00000268292.1	0	0	0	0	0	0
ENSG00000277950.1	0	0	1	0	1	0
ENSG00000128191.13	77	88	64	217	145	184
ENSG00000266567.1	0	0	0	0	0	0
ENSG00000221366.2	0	0	0	0	0	0
ENSG00000243762.1	0	0	0	0	0	0
ENSG00000099899.14	36	60	45	149	79	118
ENSG00000278278.1	0	0	0	0	0	0
ENSG00000099901.16	51	72	70	586	405	479
ENSG00000264346.1	0	0	0	0	0	0
ENSG00000099904.15	95	97	92	114	84	82
ENSG00000234409.6	6	5	4	3	3	2
ENSG00000249923.1	0	1	3	0	0	0
ENSG00000236499.2	0	3	0	7	4	7
ENSG00000040608.13	73	93	84	19	11	11
ENSG00000221039.2	1	3	0	0	0	0
ENSG00000161132.6	1	3	0	1	4	0
ENSG00000128185.9	47	42	37	96	46	86
ENSG00000273343.1	1	2	3	2	1	4
ENSG00000273139.1	3	3	3	3	0	2
ENSG00000188280.11	0	0	0	0	4	0
ENSG00000235578.1	0	0	0	1	0	0
ENSG00000161133.16	0	0	0	3	2	0
ENSG00000185252.17	38	40	42	110	78	90
ENSG00000207343.1	0	0	0	0	0	0
ENSG00000244486.7	11	7	2	31	21	34
ENSG00000277971.1	0	0	0	0	0	0
ENSG00000099910.16	59	75	72	79	51	63
ENSG00000215493.3	4	8	13	10	5	3
ENSG00000255156.1	0	0	0	0	0	0
ENSG00000201916.1	0	0	0	1	0	0
ENSG00000242876.3	0	0	3	1	0	3
ENSG00000236670.1	4	3	1	2	1	5
ENSG00000265300.1	0	0	0	0	0	0
ENSG00000099917.17	93	105	85	250	150	206
ENSG00000236003.1	0	0	0	2	2	2
ENSG00000250261.1	0	0	1	0	0	0
ENSG00000223553.5	2	4	2	1	3	1
ENSG00000276427.1	0	0	0	0	1	0
ENSG00000238125.1	0	0	0	0	0	2
ENSG00000264718.1	0	0	0	0	0	0
ENSG00000229107.2	0	1	3	0	2	3
ENSG00000217261.4	0	0	0	0	1	0
ENSG00000235062.4	0	0	0	0	0	0
ENSG00000226287.7	4	7	4	0	4	5
ENSG00000241973.10	1103	1204	1083	428	334	390
ENSG00000099937.10	13	11	8	157	109	124
ENSG00000099940.11	32	47	41	103	80	70
ENSG00000272600.1	0	0	0	0	0	0
ENSG00000099942.12	339	421	365	757	476	606
ENSG00000237476.1	5	3	4	1	6	0
ENSG00000183773.15	79	79	98	6	13	10
ENSG00000099949.18	140	179	127	301	189	225
ENSG00000272829.1	4	5	1	1	2	1
ENSG00000184436.11	36	55	38	94	71	82
ENSG00000230513.1	3	5	5	6	2	2
ENSG00000161149.11	2	1	2	5	5	2
ENSG00000099957.16	35	33	30	22	19	27
ENSG00000099960.12	16	21	11	9	3	3
ENSG00000226872.1	0	0	1	0	0	0
ENSG00000207575.1	0	0	0	0	0	1
ENSG00000206145.8	5	2	2	0	1	2
ENSG00000187905.10	0	2	2	1	1	1
ENSG00000249680.1	0	0	0	0	0	0
ENSG00000169668.11	1	0	0	0	1	0
ENSG00000197210.7	0	0	0	1	0	0
ENSG00000239511.2	1	0	0	0	0	0
ENSG00000224688.1	0	1	0	0	0	0
ENSG00000215498.8	0	0	0	0	1	0
ENSG00000234503.1	0	0	0	0	0	0
ENSG00000133475.16	0	0	1	1	1	0
ENSG00000226885.1	0	0	0	0	0	0
ENSG00000229266.1	0	0	0	0	0	0
ENSG00000169662.8	0	0	0	0	0	0
ENSG00000206142.9	0	0	0	0	0	0
ENSG00000237407.1	0	0	0	0	0	0
ENSG00000232771.2	0	0	0	0	1	0
ENSG00000279920.1	0	0	0	0	0	0
ENSG00000226534.1	0	0	0	0	0	0
ENSG00000273846.1	0	0	0	0	0	0
ENSG00000274600.1	0	0	0	0	2	2
ENSG00000200057.1	0	0	0	0	0	0
ENSG00000252020.1	0	0	0	0	0	0
ENSG00000275840.1	0	0	0	0	0	0
ENSG00000169635.9	29	25	28	209	106	140
ENSG00000276800.1	0	0	0	0	0	0
ENSG00000206140.9	1	1	7	0	4	3
ENSG00000183506.16	24	30	28	93	59	61
ENSG00000281629.1	0	0	0	0	0	0
ENSG00000252143.1	0	0	0	0	0	0
ENSG00000222352.1	0	0	0	0	0	0
ENSG00000183246.6	0	0	0	0	1	0
ENSG00000185651.14	207	241	198	472	310	346
ENSG00000275293.1	0	0	0	0	0	0
ENSG00000161179.13	18	28	24	155	83	124
ENSG00000161180.10	2	0	1	5	3	2
ENSG00000273342.1	0	0	0	2	1	1
ENSG00000128228.4	5	14	3	51	34	44
ENSG00000100023.17	58	63	60	233	142	207
ENSG00000212102.1	0	0	0	0	0	0
ENSG00000207751.1	0	0	0	0	0	0
ENSG00000272954.1	0	0	0	4	4	1
ENSG00000100027.14	23	45	28	16	8	8
ENSG00000244671.3	1	0	1	1	1	0
ENSG00000100030.14	740	952	899	839	503	664
ENSG00000200985.1	0	0	1	3	4	1
ENSG00000225544.1	0	1	1	1	0	1
ENSG00000100034.13	79	105	106	211	140	165
ENSG00000224086.5	24	46	26	63	66	61
ENSG00000100038.19	2	0	1	12	10	7
ENSG00000197549.9	0	0	0	0	0	0
ENSG00000253239.1	0	0	0	0	1	0
ENSG00000211637.2	0	0	0	0	0	0
ENSG00000254355.1	0	0	0	0	0	0
ENSG00000278657.1	0	0	0	0	1	0
ENSG00000249333.1	0	0	0	0	1	0
ENSG00000253794.1	0	0	0	0	0	0
ENSG00000228161.1	0	0	0	0	0	0
ENSG00000253874.1	0	0	0	0	0	0
ENSG00000254075.1	0	0	0	0	0	0
ENSG00000254161.1	0	0	0	0	0	0
ENSG00000253242.1	0	0	0	0	0	0
ENSG00000253752.1	0	0	0	0	1	0
ENSG00000253823.1	0	0	0	0	2	0
ENSG00000275361.1	0	0	0	0	0	0
ENSG00000211638.2	0	0	0	0	0	0
ENSG00000225741.1	0	0	0	0	0	0
ENSG00000263366.2	0	0	0	0	0	0
ENSG00000236118.1	0	0	0	0	0	0
ENSG00000233720.1	0	0	0	0	0	0
ENSG00000211639.2	0	0	0	0	0	0
ENSG00000227710.1	0	0	0	0	0	0
ENSG00000224465.1	0	0	0	0	1	0
ENSG00000254308.1	0	0	0	0	0	0
ENSG00000253637.1	0	0	0	0	0	0
ENSG00000236323.1	0	0	0	0	0	0
ENSG00000211640.3	0	0	0	1	0	0
ENSG00000253126.1	0	0	0	0	0	0
ENSG00000211641.2	0	0	0	0	0	0
ENSG00000211642.2	0	0	0	0	0	0
ENSG00000253935.1	0	0	0	0	1	0
ENSG00000228050.1	0	0	0	1	0	2
ENSG00000234726.1	0	0	0	0	1	0
ENSG00000169575.4	0	0	0	1	0	1
ENSG00000279278.1	12	12	18	15	15	13
ENSG00000274422.1	2	0	1	2	6	0
ENSG00000234630.1	0	0	0	0	0	0
ENSG00000272779.1	1	7	0	6	3	5
ENSG00000236850.4	3	1	8	6	1	2
ENSG00000211643.2	0	2	2	0	0	0
ENSG00000211644.2	0	3	0	0	0	0
ENSG00000211645.2	1	3	0	0	0	0
ENSG00000225724.1	0	0	0	0	1	0
ENSG00000223350.2	0	0	0	0	1	0
ENSG00000232515.1	0	0	0	0	0	0
ENSG00000211647.1	0	0	0	0	0	0
ENSG00000211648.2	0	0	0	0	0	0
ENSG00000237428.1	0	0	0	0	1	0
ENSG00000211649.3	0	0	0	0	0	0
ENSG00000232603.1	0	0	0	0	0	0
ENSG00000211650.2	0	0	0	0	0	0
ENSG00000211651.3	0	0	0	0	0	0
ENSG00000211652.2	0	0	0	0	0	0
ENSG00000254175.1	0	0	0	0	0	0
ENSG00000254073.1	0	0	0	0	0	0
ENSG00000253818.1	0	0	0	0	0	0
ENSG00000211653.2	0	0	0	0	1	0
ENSG00000224144.1	0	0	0	0	0	0
ENSG00000253889.1	0	0	0	0	1	0
ENSG00000211654.2	0	0	0	0	0	0
ENSG00000211655.3	0	0	0	0	1	0
ENSG00000230821.1	0	1	0	0	1	0
ENSG00000253631.1	0	0	0	0	0	0
ENSG00000226595.1	0	0	1	0	1	0
ENSG00000275004.3	28	37	39	63	54	42
ENSG00000169548.3	0	0	0	11	10	14
ENSG00000185686.17	0	0	0	814	466	598
ENSG00000220891.1	0	0	0	1	1	0
ENSG00000253120.1	0	0	0	0	0	0
ENSG00000211656.3	0	0	0	0	0	0
ENSG00000211657.3	0	0	0	0	0	0
ENSG00000253920.1	0	0	0	0	1	0
ENSG00000253329.1	0	0	0	0	0	0
ENSG00000215456.5	0	0	0	0	0	0
ENSG00000183169.6	0	0	0	0	1	0
ENSG00000100121.12	0	0	0	0	1	0
ENSG00000253338.1	0	0	0	0	1	0
ENSG00000207834.1	0	0	0	0	0	0
ENSG00000253451.1	0	0	0	0	0	0
ENSG00000211658.2	0	0	0	2	0	0
ENSG00000253913.1	0	0	0	0	0	0
ENSG00000253779.1	0	0	0	0	0	0
ENSG00000211659.2	0	0	0	0	2	0
ENSG00000232350.1	0	0	0	0	0	0
ENSG00000223999.1	0	0	0	0	0	0
ENSG00000253822.1	0	0	0	0	0	0
ENSG00000211660.3	0	0	0	0	0	0
ENSG00000207830.1	0	0	0	0	0	0
ENSG00000253546.1	0	0	0	0	0	0
ENSG00000211661.2	0	0	0	0	0	0
ENSG00000211662.2	0	0	0	0	0	0
ENSG00000254240.1	0	0	0	0	0	0
ENSG00000211663.2	0	0	0	0	1	0
ENSG00000278667.1	0	0	0	0	0	0
ENSG00000264629.1	0	0	0	0	0	0
ENSG00000211664.2	0	0	0	0	0	0
ENSG00000254709.6	0	0	0	1	0	0
ENSG00000253152.1	0	0	0	0	0	0
ENSG00000211665.2	0	0	0	0	0	0
ENSG00000253786.1	0	0	0	0	0	0
ENSG00000207835.1	0	0	0	0	0	0
ENSG00000211666.2	0	0	0	5	1	5
ENSG00000253590.1	0	0	0	0	0	0
ENSG00000211667.2	0	0	0	0	0	0
ENSG00000231392.1	0	0	0	0	0	0
ENSG00000275772.1	0	0	0	0	0	0
ENSG00000207833.1	0	0	0	0	0	0
ENSG00000211668.2	0	0	0	0	0	0
ENSG00000274381.1	0	0	0	0	0	0
ENSG00000211669.2	0	0	0	0	0	0
ENSG00000226477.1	0	0	0	0	0	0
ENSG00000211670.2	0	0	0	0	1	0
ENSG00000278196.1	0	0	0	0	0	0
ENSG00000207836.1	0	0	0	0	0	0
ENSG00000237127.1	0	0	0	0	1	0
ENSG00000254077.1	0	0	0	0	0	0
ENSG00000253448.1	0	0	0	0	0	0
ENSG00000207832.1	0	0	0	0	0	0
ENSG00000253234.1	0	0	0	0	0	0
ENSG00000226420.1	0	0	0	0	0	0
ENSG00000211672.2	0	0	0	0	0	0
ENSG00000253963.1	0	0	0	0	0	0
ENSG00000211673.2	0	0	0	0	0	0
ENSG00000264824.1	0	0	0	0	0	0
ENSG00000211674.2	0	0	0	0	0	0
ENSG00000211675.2	0	0	0	0	0	0
ENSG00000211676.2	0	0	0	0	0	0
ENSG00000211677.2	0	0	0	858	488	614
ENSG00000211678.2	0	0	0	0	1	0
ENSG00000211679.2	0	0	0	107	46	77
ENSG00000211680.2	0	0	0	0	0	0
ENSG00000254029.1	0	0	0	0	0	0
ENSG00000211681.2	0	0	0	0	1	0
ENSG00000254030.1	0	0	0	0	0	0
ENSG00000211682.2	0	0	0	0	0	0
ENSG00000222037.5	0	0	0	0	0	0
ENSG00000211684.2	0	0	0	0	0	0
ENSG00000211685.3	0	0	0	8	4	4
ENSG00000237472.1	0	0	0	0	0	0
ENSG00000223679.1	0	0	0	1	0	0
ENSG00000100218.11	4	8	5	1	0	0
ENSG00000128266.8	220	241	210	31	17	26
ENSG00000221069.1	0	1	0	0	0	0
ENSG00000275635.1	0	0	0	0	0	0
ENSG00000100228.12	29	30	33	20	15	17
ENSG00000186716.19	229	361	302	333	203	270
ENSG00000236794.5	0	1	0	0	0	0
ENSG00000240160.3	1	1	1	1	0	2
ENSG00000230701.2	2	4	4	8	6	10
ENSG00000214526.3	0	2	0	0	0	0
ENSG00000236611.1	0	0	1	0	0	0
ENSG00000215478.8	2	2	0	0	1	0
ENSG00000133519.12	20	16	14	1	2	3
ENSG00000248409.1	1	1	0	0	0	0
ENSG00000234928.1	0	0	0	0	1	1
ENSG00000227755.1	0	1	0	1	3	1
ENSG00000178248.11	0	0	1	0	1	0
ENSG00000225413.2	0	0	0	4	4	3
ENSG00000280623.1	0	0	1	202	155	180
ENSG00000224277.5	0	0	0	0	2	0
ENSG00000128322.6	0	0	0	0	0	2
ENSG00000272733.1	1	3	0	0	1	0
ENSG00000278655.1	0	1	0	1	1	0
ENSG00000189269.12	2	2	1	0	4	1
ENSG00000275609.1	0	0	1	0	0	1
ENSG00000211683.3	0	3	0	0	0	1
ENSG00000228315.11	1	0	0	1	0	1
ENSG00000234353.2	0	0	0	2	4	1
ENSG00000244723.3	1	0	1	2	3	4
ENSG00000273000.5	0	0	0	0	0	0
ENSG00000272578.5	3	3	5	10	7	4
ENSG00000159496.14	16	27	18	17	15	8
ENSG00000187792.4	26	47	32	79	47	41
ENSG00000128218.7	0	0	0	0	0	3
ENSG00000169314.14	2	7	7	4	3	4
ENSG00000250479.8	28	28	27	26	15	29
ENSG00000099953.9	2	1	1	13	14	14
ENSG00000280178.1	0	0	0	0	0	0
ENSG00000099956.17	70	77	62	169	131	138
ENSG00000099958.14	4	8	7	79	43	74
ENSG00000272973.1	0	2	0	0	0	1
ENSG00000133460.19	52	61	40	23	32	27
ENSG00000251357.4	0	0	0	0	0	0
ENSG00000279467.1	4	4	1	6	4	4
ENSG00000244425.3	1	1	1	4	1	2
ENSG00000240972.1	3	2	2	2	1	1
ENSG00000218537.1	5	1	5	8	11	13
ENSG00000273295.1	11	14	12	27	24	27
ENSG00000277002.1	0	0	0	0	0	0
ENSG00000225282.1	2	2	1	2	1	7
ENSG00000206090.4	0	0	0	0	0	0
ENSG00000231271.1	0	0	0	0	0	0
ENSG00000133433.10	2	1	3	10	4	3
ENSG00000228039.3	0	0	0	0	0	0
ENSG00000099974.7	2	2	3	2	4	3
ENSG00000272787.1	1	2	1	1	4	3
ENSG00000099977.13	0	0	0	1	1	2
ENSG00000250470.1	0	0	0	0	0	0
ENSG00000099984.10	0	0	0	0	0	0
ENSG00000224205.1	0	0	0	1	0	0
ENSG00000276950.4	0	0	0	0	1	1
ENSG00000235689.1	0	0	0	0	1	0
ENSG00000099991.16	278	321	310	509	297	374
ENSG00000232545.1	13	11	7	14	10	13
ENSG00000099994.10	8	8	7	11	17	10
ENSG00000099998.17	22	31	22	10	4	3
ENSG00000230712.2	0	0	1	0	0	0
ENSG00000128262.8	1	1	2	0	1	1
ENSG00000225098.1	0	0	0	0	0	0
ENSG00000215464.4	0	0	0	0	1	0
ENSG00000100014.19	61	75	68	149	77	94
ENSG00000258555.4	0	1	0	0	1	2
ENSG00000128271.19	2	3	2	2	0	0
ENSG00000178803.10	2	5	5	6	12	4
ENSG00000100024.14	0	1	2	1	10	2
ENSG00000228923.1	0	0	0	0	1	0
ENSG00000138867.16	62	62	62	378	213	288
ENSG00000100028.11	68	86	97	291	209	253
ENSG00000100031.18	8	14	10	85	36	57
ENSG00000178026.12	20	30	26	21	24	24
ENSG00000230947.2	0	0	0	0	0	0
ENSG00000215481.8	1	1	2	5	5	8
ENSG00000224124.3	0	0	0	0	0	0
ENSG00000224806.2	0	0	0	0	0	0
ENSG00000224334.1	0	0	0	0	1	0
ENSG00000282012.1	0	0	0	0	0	0
ENSG00000237601.1	0	0	0	0	0	0
ENSG00000182351.7	0	0	0	0	1	0
ENSG00000184571.13	0	0	0	1	3	0
ENSG00000167037.18	150	187	163	5	8	7
ENSG00000199783.1	0	0	1	0	0	0
ENSG00000206069.5	0	0	1	0	1	0
ENSG00000197077.12	125	145	128	151	92	139
ENSG00000279085.1	3	3	0	1	3	0
ENSG00000279548.1	0	1	1	1	1	0
ENSG00000279006.1	0	2	1	3	4	3
ENSG00000279110.1	5	6	3	12	19	6
ENSG00000203280.4	7	7	5	4	1	1
ENSG00000271181.1	0	0	0	0	0	0
ENSG00000100053.9	0	1	1	1	0	0
ENSG00000236641.1	0	1	0	0	0	0
ENSG00000244752.2	0	1	0	0	4	0
ENSG00000278125.1	0	0	0	0	0	0
ENSG00000279298.1	0	0	0	0	0	0
ENSG00000233577.6	0	0	0	0	1	0
ENSG00000206066.3	0	0	0	0	0	0
ENSG00000230637.2	0	1	0	2	2	1
ENSG00000231466.2	0	2	2	4	2	1
ENSG00000100068.11	7	5	5	41	24	26
ENSG00000272942.1	0	0	0	1	2	1
ENSG00000272798.1	0	1	0	0	1	1
ENSG00000271138.1	0	0	0	0	0	0
ENSG00000100058.12	23	24	22	55	36	54
ENSG00000277872.1	0	0	0	0	0	0
ENSG00000272977.1	10	18	11	12	8	4
ENSG00000265978.1	0	0	0	0	0	0
ENSG00000234884.1	1	1	0	1	2	1
ENSG00000100077.14	207	286	262	171	136	127
ENSG00000237387.1	0	0	1	2	3	5
ENSG00000224003.1	3	5	4	9	4	4
ENSG00000222585.1	0	0	0	0	0	0
ENSG00000133454.15	0	0	0	85	85	64
ENSG00000278960.1	0	0	0	2	1	3
ENSG00000231933.7	0	0	0	1	6	4
ENSG00000264925.1	0	0	0	1	1	0
ENSG00000232464.1	0	0	0	0	0	0
ENSG00000223056.1	0	0	0	0	1	0
ENSG00000232050.1	0	0	0	0	0	0
ENSG00000236464.1	0	0	0	0	1	0
ENSG00000229770.1	1	0	0	0	1	1
ENSG00000100095.18	398	509	461	16	17	22
ENSG00000224192.2	3	5	2	0	0	0
ENSG00000252267.1	0	0	0	0	0	0
ENSG00000230203.1	0	0	0	0	1	0
ENSG00000128203.6	40	52	74	17	11	21
ENSG00000100099.20	113	174	183	318	202	254
ENSG00000100104.12	32	33	36	55	42	48
ENSG00000100109.16	60	91	51	139	75	94
